Text: Crónica, href: http://www.cronica.ufm.edu/blog/
Text: El Foro y el Bazar, href: http://bazar.ufm.edu/
Text: Erasmus, href: http://erasmus.ufm.edu/
Text: Libro Libertate, href: http://librolibertate.wordpress.com/
Text: Natural Order, href: http://naturalorder.ufm.edu/
Text: Pensar es Crecer, href: https://escs.ufm.edu/pensarescrecer/
Text: Praxis & Lexis, href: http://posgrado.ufm.edu/blog/
Text: Recetas y Salud, href: http://nutricion.ufm.edu/blog/
"Text: 
	        Cultura 
", href: #cultura
Text: Atlas Libertas, href: http://www.atlaslibertas.ufm.edu/
Text: Casa Popenoe, href: http://casapopenoe.ufm.edu/
Text: Departamento de Artes Escénicas, href: http://conciertos.ufm.edu/
Text: Eventos, href: http://asomate.ufm.edu/
Text: Lienzo Quauhquechollan, href: http://lienzo.ufm.edu/
Text: Mooc Don Quijote Español, href: http://donquijote.ufm.edu/
Text: Mooc Don Quijote Inglés, href: http://donquijote.ufm.edu/en
Text: Museo Popol Vuh, href: http://www.popolvuh.ufm.edu
"Text: 
	        UFM 
", href: #ufm
Text: Alianzas, href: /Alianzas
Text: Cuarenta años 1 misión, href: http://cuarenta.ufm.edu
Text: Discurso Inaugural Manuel F. Ayau, href: /Discurso_Inaugural
Text: Discurso del rector Fernando Monterroso, href: https://www.ufm.edu/images/7/71/DiscursoInauguralLicMonterroso.pdf
Text: Discurso del rector Giancarlo Ibárgüen, href: https://www.ufm.edu/images/2/2e/DiscursoInauguralGiancarloIbarguen.pdf
Text: Discurso del rector Gabriel Calzada, href: https://www.ufm.edu/images/0/0e/DiscursoInauguralDrGabrielCalzada.pdf
Text: Doctorados Honoris Causa, href: /Doctorados_Honoris_Causa
Text: Evolución, href: http://evolucion.ufm.edu
Text: Excelencia, href: https://www.ufm.edu/images/d/d5/Excelencia.pdf
Text: Fiduciarios, href: http://fiduciarios.ufm.edu/
Text: Himno, href: /Himno
Text: Ideario, href: /Ideario
Text: Informe Financiero, href: /Informe_Financiero
Text: Línea del tiempo, href: http://cuarenta.ufm.edu/index.php/Linea_del_Tiempo
Text: Manuel F. Ayau, href: http://muso.ufm.edu
Text: ¿Por qué la UFM?, href: http://newmedia.ufm.edu/coleccion/proceso-economico-por-el-dr-manuel-ayau/por-que-la-ufm/
Text: Reglamentos, href: /Reglamentos
Text: Semblanza y Loa de Francisco, href: https://www.ufm.edu/images/0/0e/Loa_Fco_Marroquin.pdf
Text:  Tradiciones, href: /Tradiciones_UFM
Text: Tarifario 2019, href: /Tarifario_2019
Text: Valores, href: /Valores
Text: Virtudes, href: /Virtudes
Text: , href: /index.php/
Text: Estudios, href: /Estudios
Text: , href: /index.php/
Text: , href: 
Text: Arquitectura, href: http://arquitectura.ufm.edu
Text: Centro Henry Hazlitt, href: http://chh.ufm.edu
Text: Ciencias Económicas, href: http://fce.ufm.edu
Text: Ciencias Sociales, href: http://escs.ufm.edu
Text: Derecho, href: http://derecho.ufm.edu
Text: Educación, href: http://educacion.ufm.edu
Text: Estudios Políticos y Relaciones Internacionales, href: http://epri.ufm.edu
Text: Medicina, href: http://medicina.ufm.edu
Text: Nutrición, href: http://nutricion.ufm.edu
Text: Odontología, href: http://odontologia.ufm.edu
Text: Psicología, href: http://psicologia.ufm.edu
Text: Acton MBA, href: http://actonmba.ufm.edu
Text: Programa de Doctorado, href: http://doctorado.ufm.edu
Text: Escuela de Cine y Artes Visuales, href: http://cine.ufm.edu/
Text: Escuela de Negocios, href: http://en.ufm.edu/
Text: Escuela de Posgrado, href: http://posgrado.ufm.edu/
Text: Michael Polanyi College, href: http://mpc.ufm.edu/
Text: Campus Madrid, href: https://madrid.ufm.edu/
Text: Antigua Forum, href: http://antiguaforum.ufm.edu
Text: Arboretum, href: http://arboretum.ufm.edu/
Text: Asociación de Debates, href: http://debates.ufm.edu/
Text: Centro Henry Hazlitt, href: http://chh.ufm.edu
"Text: Dos Historias, Una Ciudad", href: http://doshistorias.ufm.edu/
Text: Centro para el Análisis de las Deciones Públicas (CADEP), href: http://cadep.ufm.edu
Text: Centro de Ética David Hume, href: http://hume.ufm.edu
Text: Centro de Estudio del Capitalismo, href: http://capitalismo.ufm.edu/
Text: Centro Ibn Khaldun, href: http://centroik.ufm.edu
Text: Centro Vernon Smith de Economía Experimental, href: http://fce.ufm.edu/inicio-cvs/
Text: College Freedom Forum At UFM 2019, href: https://cff.ufm.edu/2019/
Text: Concurso Charles L. Stillman , href: http://www.stillman.ufm.edu/
Text: Congreso de Economía Austriaca, href: http://economia-austriaca.ufm.edu/
Text: Evolución, href: http://evolucion.ufm.edu/
Text: Finance Research Center, href: http://frc.ufm.edu/
Text: Global Entrepreneurship Monitor, href: http://gem.ufm.edu/
Text: Grajeda Mena, href: https://grajedamena.ufm.edu/
Text: Hayek Freedom's Philosopher, href: http://www.freedomsphilosopher.ufm.edu/index.php/Main_Page
Text: Henry Hazlitt Archives, href: http://hazlitt.ufm.edu
Text: Heurística, href: http://heuristica.ufm.edu
Text: Jornadas de Investigación en Humanidades (JIHU), href: http://jihu.ufm.edu
Text: Kirzner Entrepreneurship Center, href: http://fce.ufm.edu/kec/centro-de-emprendimiento-kirzner/
Text: Market Trends Es/En, href: http://trends.ufm.edu/
Text: Mooc Don Quijote Es/En, href: http://donquijote.ufm.edu/
Text: Mooc La Escuela de Salamanca Es/En, href: http://salamanca.ufm.edu
Text: Mooc Capitalismo y Socialismo, href: http://opencourses.ufm.edu/courses/course-v1:Ciencia-Politica+CSESV1+2019/about
Text: Mooc Dictaduras Militares Latinoamericanas, href: http://opencourses.ufm.edu/courses/course-v1:Estudios-latinoamericanos+DMLES+2019/about
Text: Open Courses, href: https://opencourses.ufm.edu
Text: Plaza de la Libertad, href: http://www.plazalibertad.ufm.edu
Text: Pozo Económico, href: http://pozoeconomico.ufm.edu
Text: Programa ITA, href: http://ita.ufm.edu
Text: Seminario de Grandes Libros, href: http://grandeslibros.ufm.edu/
Text: Semilla de Libertad, href: http://semilladelibertad.ufm.edu/
Text: Sitio Escolástico, href: http://escolasticos.ufm.edu
Text: TEDxUFM, href: http://tedx.ufm.edu
Text: The Hayek Interviews, href: http://hayek.ufm.edu
Text: The Journal of Private Enterprise, href: http://journal.apee.org
Text: Alumni, href: https://alumni.ufm.edu/
Text: Akademeia, href: http://akademeia.ufm.edu/index.php/P%C3%A1gina_principal
Text: Arboretum, href: http://arboretum.ufm.edu
Text:  Asociación de Estudiantes, href: /Asociaciones_Estudiantiles
Text: Biblioteca, href: http://biblioteca.ufm.edu
Text: Bookstore, href: http://bookstore.ufm.edu
Text: Calendario Académico 2019, href: /Calendario_Acad%C3%A9mico_2019
Text: CETA, href: http://www.ceta.ufm.edu
Text: Creative Commons, href: http://gt.creativecommons.org
Text: Crédito Educativo, href: /Cr%C3%A9dito_Educativo
Text: Crónica, href: http://cronica.ufm.edu/
Text: Directorio, href: /Directorio
Text: Eventos, href: http://asomate.ufm.edu/
Text: Formación Continua, href: https://formacioncontinua.ufm.edu
Text: Graduaciones, href: http://graduacion.ufm.edu
Text: Héroes, href: http://heroes.ufm.edu
Text: Laissez Faire, href: http://laissezfaire.ufm.edu/
Text: Mapa Campus, href: /Mapa_Campus
Text: New Media, href: http://newmedia.ufm.edu
Text: PovertyCure, href: http://www.povertycure.org/
Text: Tarifario 2019, href: /Tarifario_2019
Text: Wiki diccionario, href: http://wiki.ufm.edu/chh/index.php/Portada
Text: ¿A quién pertenece el pasado?, href: http://www.exploraciones.ufm.edu/blog/
Text: Centro para el Análisis de las Decisiones Públicas (CADEP), href: http://www.cadep.ufm.edu/blog/
Text: Crónica, href: http://www.cronica.ufm.edu/blog/
Text: El Foro y el Bazar, href: http://bazar.ufm.edu/
Text: Erasmus, href: http://erasmus.ufm.edu/
Text: Libro Libertate, href: http://librolibertate.wordpress.com/
Text: Natural Order, href: http://naturalorder.ufm.edu/
Text: Pensar es Crecer, href: https://escs.ufm.edu/pensarescrecer/
Text: Praxis & Lexis, href: http://posgrado.ufm.edu/blog/
Text: Recetas y Salud, href: http://nutricion.ufm.edu/blog/
Text: Atlas Libertas, href: http://www.atlaslibertas.ufm.edu/
Text: Casa Popenoe, href: http://casapopenoe.ufm.edu/
Text: Departamento de Artes Escénicas, href: http://conciertos.ufm.edu/
Text: Eventos, href: http://asomate.ufm.edu/
Text: Lienzo Quauhquechollan, href: http://lienzo.ufm.edu/
Text: Mooc Don Quijote Español, href: http://donquijote.ufm.edu/
Text: Mooc Don Quijote Inglés, href: http://donquijote.ufm.edu/en
Text: Museo Popol Vuh, href: http://www.popolvuh.ufm.edu
Text: Alianzas, href: /Alianzas
Text: Cuarenta años 1 misión, href: http://cuarenta.ufm.edu
Text: Discurso Inaugural Manuel F. Ayau, href: /Discurso_Inaugural
Text: Discurso del rector Fernando Monterroso, href: https://www.ufm.edu/images/7/71/DiscursoInauguralLicMonterroso.pdf
Text: Discurso del rector Giancarlo Ibárgüen, href: https://www.ufm.edu/images/2/2e/DiscursoInauguralGiancarloIbarguen.pdf
Text: Discurso del rector Gabriel Calzada, href: https://www.ufm.edu/images/0/0e/DiscursoInauguralDrGabrielCalzada.pdf
Text: Doctorados Honoris Causa, href: /Doctorados_Honoris_Causa
Text: Evolución, href: http://evolucion.ufm.edu
Text: Excelencia, href: https://www.ufm.edu/images/d/d5/Excelencia.pdf
Text: Fiduciarios, href: http://fiduciarios.ufm.edu/
Text: Himno, href: /Himno
Text: Ideario, href: /Ideario
Text: Informe Financiero, href: /Informe_Financiero
Text: Línea del tiempo, href: http://cuarenta.ufm.edu/index.php/Linea_del_Tiempo
Text: Manuel F. Ayau, href: http://muso.ufm.edu
Text: ¿Por qué la UFM?, href: http://newmedia.ufm.edu/coleccion/proceso-economico-por-el-dr-manuel-ayau/por-que-la-ufm/
Text: Reglamentos, href: /Reglamentos
Text: Semblanza y Loa de Francisco, href: https://www.ufm.edu/images/0/0e/Loa_Fco_Marroquin.pdf
Text:  Tradiciones, href: /Tradiciones_UFM
Text: Tarifario 2019, href: /Tarifario_2019
Text: Valores, href: /Valores
Text: Virtudes, href: /Virtudes
Text: UFMail, href: https://accounts.google.com/o/oauth2/auth?response_type=code&access_type=online&client_id=753553871119-42rgfeitjhbrq449nj1906662pupr1j0.apps.googleusercontent.com&redirect_uri=https%3A%2F%2Fwww.ufm.edu%2Fautenticacion%2Foauth2_init.php&state=6dea30630303c3dfad595cc073b30187&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&approval_prompt=auto&hd=ufm.edu
Text: MiU, href: https://accounts.google.com/o/oauth2/auth?response_type=code&access_type=offline&client_id=514583071787-mcsoogoa3kb7v56n7r78obvusehc81br.apps.googleusercontent.com&redirect_uri=https%3A%2F%2Fmiu.ufm.edu%2Findex.php&state=1ad35a39ca5046541d13100864a07866&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&approval_prompt=force&hd=ufm.edu&login_hint=ejemplo%40ufm.edu
Text: UFM Key Projects, href: https://www.ufm.edu/english/
Text: Friends of UFM, href: https://foufm.org
Text: Donaciones, href: https://www.ufm.edu/checkout/donaciones/
Text:  Contáctenos, href: /Especial:Sugerencias
Text: Admisiones, href: http://admisiones.ufm.edu/
Text: Alumni, href: https://alumni.ufm.edu/
Text: Campus Madrid, href: https://madrid.ufm.edu/?referer=ufm
Text:  Redes Sociales, href: /Redes_Sociales
Text: El Amigo de la Marro, href: https://noticias.ufm.edu
Text: , href: https://noticias.ufm.edu/stephanie-falla-entre-las-50-mujeres-mas-desafiantes-de-centro-america/
Text: , href: https://noticias.ufm.edu/medicina-ufm-celebro-xv-aniversario-del-centro-de-salud-barbara/
Text: , href: https://noticias.ufm.edu/participa-en-la-alumni-fest-en-la-ufm/
Text: Stephanie Falla entre las 50 mujeres más desafiantes de Centro América, href: https://noticias.ufm.edu/stephanie-falla-entre-las-50-mujeres-mas-desafiantes-de-centro-america/
Text: Medicina UFM celebró XV aniversario del Centro de Salud Bárbara, href: https://noticias.ufm.edu/medicina-ufm-celebro-xv-aniversario-del-centro-de-salud-barbara/
Text: ¡Participa en el Alumni Fest UFM!, href: https://noticias.ufm.edu/participa-en-la-alumni-fest-en-la-ufm/
Text: Eventos, href: https://asomate.ufm.edu
Text: , href: https://asomate.ufm.edu/event/curso-libre-conceptos-clave-pensamiento-tocqueville/
Text: , href: https://asomate.ufm.edu/event/las-mujeres-arte-guatemalteco/
Text: , href: https://asomate.ufm.edu/event/1615/
Text: Curso libre: Conceptos Clave en el Pensamiento de Tocqueville, href: https://asomate.ufm.edu/event/curso-libre-conceptos-clave-pensamiento-tocqueville/
Text: Las Mujeres en el Arte Guatemalteco, href: https://asomate.ufm.edu/event/las-mujeres-arte-guatemalteco/
Text: Cursos libres: Historia del Arte Moderno, href: https://asomate.ufm.edu/event/1615/
Text: Newmedia, href: https://newmedia.ufm.edu
Text: , href: https://newmedia.ufm.edu/video/ricardo-gomes-oportunidades-para-la-politica-liberal-en-brasil/
Text: , href: https://newmedia.ufm.edu/video/first-tuesday-ufm-el-arte-del-buen-vestir/
Text: , href: https://newmedia.ufm.edu/video/homenaje-especial-en-honor-de-armando-de-la-torre/
"Text: Ricardo Gomes, oportunidades para la política liberal en Brasil", href: https://newmedia.ufm.edu/video/ricardo-gomes-oportunidades-para-la-politica-liberal-en-brasil/
Text: First Tuesday UFM: El arte del buen vestir, href: https://newmedia.ufm.edu/video/first-tuesday-ufm-el-arte-del-buen-vestir/
Text: Homenaje especial en honor de Armando de la Torre, href: https://newmedia.ufm.edu/video/homenaje-especial-en-honor-de-armando-de-la-torre/
Text: UFM en medios, href: https://noticias.ufm.edu/category/UFM-medios/
Text: , href: https://noticias.ufm.edu/bronzelens-film-festival-selecciono-cortometraje-de-pedro-pablo-herrera/
Text: , href: https://noticias.ufm.edu/luis-zelaya-the-lawyer-magazine/
Text: , href: https://noticias.ufm.edu/cosmides-tooby-recibieron-doctorados-honorificos-la-ufm/
Text: BronzeLens Film Festival seleccionó cortometraje de Pedro Pablo Herrera, href: https://noticias.ufm.edu/bronzelens-film-festival-selecciono-cortometraje-de-pedro-pablo-herrera/
Text: Luis Zelaya en The Lawyer Magazine, href: https://noticias.ufm.edu/luis-zelaya-the-lawyer-magazine/
Text: Cosmides y Tooby recibieron doctorados honoríficos en la UFM, href: https://noticias.ufm.edu/cosmides-tooby-recibieron-doctorados-honorificos-la-ufm/
"Text: Calle Manuel F. Ayau (6 Calle final), zona 10", href: #myModal
Text: (+502) 2338-7700, href: tel:+50223387700
Text: inf@ufm.edu, href: mailto:inf@ufm.edu
Text: webmaster@ufm.edu, href: mailto:webmaster@ufm.edu
Text: , href: http://www.linkedin.com/edu/school?id=12868&trk=tyah&trkInfo=tas%3Auniversidad%20francisco%20marroqu%EDn%2Cidx%3A3-1-4
Text: , href: https://www.facebook.com/UFMedu
Text: , href: https://twitter.com/ufmedu
Text: , href: https://plus.google.com/u/0/+UFMedu/posts
Text: , href: http://www.youtube.com/user/newmediaufm?feature=watch
Text: , href: http://www.pinterest.com/ufmedu/boards/
Text: , href: #
Text:  Facebook, href: http://www.facebook.com/sharer.php?u=https://ww1.ufm.edu/&t=Universidad%20Francisco%20Marroquín
Text:  Twitter," href: http://twitter.com/home?status=Universidad%20Francisco%20Marroquín,%20https://ww1.ufm.edu/"
Text:  Linkedin, href: http://www.linkedin.com/shareArticle?mini=true&url=https://ww1.ufm.edu&title=Universidad%20Francisco%20Marroqu%C3%ADn
Text: , href: #
Text: CC: BY-NC-SA, href: http://creativecommons.org/licenses/by-nc-sa/3.0/gt/
Text: Aviso Legal, href: https://www.ufm.edu/Aviso_Legal
Text: Política de cookies, href: https://www.ufm.edu/Política_de_Cookies
Text: Política de privacidad, href: https://www.ufm.edu/Políticas_de_privacidad
Text: Online Chat, href: http://www.providesupport.com?messenger=ufmmiu
"Text: Calle Manuel F. Ayau (6 Calle final), zona 10", href: #myModal
Text: inf@ufm.edu, href: mailto:inf@ufm.edu
Text: webmaster@ufm.edu, href: mailto:webmaster@ufm.edu
Text: , href: http://www.linkedin.com/edu/school?id=12868&trk=tyah&trkInfo=tas%3Auniversidad%20francisco%20marroqu%EDn%2Cidx%3A3-1-4
Text: , href: https://www.facebook.com/UFMedu
Text: , href: https://twitter.com/ufmedu
Text: , href: http://www.youtube.com/user/newmediaufm?feature=watch
Text: , href: http://www.pinterest.com/ufmedu/boards/
Text: , href: #
Text:  Facebook, href: http://www.facebook.com/sharer.php?u=https://www.ufm.edu/index.php/Portal&t=Portal
Text:  Twitter," href: http://twitter.com/home?status=Portal,%20https://www.ufm.edu/index.php/Portal"
Text:  Linkedin, href: http://www.linkedin.com/shareArticle?mini=true&url=https://www.ufm.edu&title=Universidad%20Francisco%20Marroqu%C3%ADn
Text: Online Chat, href: http://www.providesupport.com?messenger=ufmmiu
Text: , href: #
Text: Mapa del campus, href: https://www.ufm.edu/index.php/Mapa_Campus
Text: CC: BY-NC-SA, href: http://creativecommons.org/licenses/by-nc-sa/3.0/gt/
Text: Aviso Legal, href: https://www.ufm.edu/Aviso_Legal
Text: Política de cookies, href: https://www.ufm.edu/Política_de_Cookies
Text: Política de privacidad, href: https://www.ufm.edu/Políticas_de_privacidad
Text: , href: https://www.ufm.edu/index.php/Mapa_Campus
